node_id_from,node_id_to,cost,cost_0,alpha,beta,long_from,lat_from,long_to,lat_to,flow_capacity
39,1,19.403999904000003,19.403999904000003,1.0,5.0,150.99136235985802,-34.07621196115549,150.9250061311149,-33.932767485278156,1291.28015048252
42,1,4.3521110638364195,4.3521110638364195,0.55,5.5,150.98264512934995,-33.949415277894765,150.9250061311149,-33.932767485278156,6236.32714630067
48,1,3.1859999988,3.1859999988,1.0,5.0,150.94257978767277,-33.876061474420986,150.9250061311149,-33.932767485278156,5000.0
51,1,6.497999929800001,6.497999929800001,1.0,5.0,150.85839240657683,-33.92493461802784,150.9250061311149,-33.932767485278156,4561.48492129726
1,22,3.35000002,3.35000002,0.55,5.5,150.92507065718732,-33.93273251125431,150.8790577609785,-33.95600281507951,6000.0
16,22,5.459999972,5.459999972,0.55,5.5,150.83143278699094,-34.02390470377589,150.8790577609785,-33.95600281507951,7000.0
51,22,2.6540000127199996,2.6540000127199996,0.55,5.5,150.85839240657683,-33.92493461802784,150.8790577609785,-33.95600281507951,5079.772079590261
1,39,19.403999904000003,19.403999904000003,1.0,5.0,150.92507065718732,-33.93273251125431,150.991362359858,-34.07621196115549,1415.58441825892
13,39,7.674000072,7.674000072,1.0,5.0,151.03977319324204,-34.02525024426756,150.991362359858,-34.07621196115549,3336.0549038908903
1,42,4.377799990094815,4.377799990094815,0.55,5.5,150.92507065718732,-33.93273251125431,150.98264512935003,-33.949415277894765,6211.65967869666
34,42,6.000000036,6.000000036,1.0,5.0,151.03174481635352,-33.96923503566577,150.98264512935003,-33.949415277894765,1000.0
48,42,6.240000048,6.240000048,1.0,5.0,150.94257978767277,-33.876061474420986,150.98264512935003,-33.949415277894765,1000.0
58,42,3.5868057267258,3.5868057267258,0.55,5.5,151.03898303118194,-33.92377893458613,150.98264512935003,-33.949415277894765,6475.81678449778
1,48,3.1859999988,3.1859999988,1.0,5.0,150.92507065718732,-33.93273251125431,150.9425797876728,-33.87606147442098,5000.0
15,48,5.8407000060000005,5.8407000060000005,1.0,5.0,150.85178599934846,-33.87039605406204,150.9425797876728,-33.87606147442098,3181.33037553152
20,48,9.047999904,9.047999904,1.0,5.0,151.01449379636105,-33.81172787292927,150.9425797876728,-33.87606147442098,2933.6870006226695
42,48,6.240000048,6.240000048,1.0,5.0,150.98264512934995,-33.949415277894765,150.9425797876728,-33.87606147442098,1000.0
43,48,5.904000036,5.904000036,1.0,5.0,150.97113116832975,-33.81223746294481,150.9425797876728,-33.87606147442098,3000.0
47,48,6.3479999868,6.3479999868,1.0,5.0,150.91272654758998,-33.80308445160977,150.9425797876728,-33.87606147442098,1128.5444274884699
51,48,3.479999952,3.479999952,1.0,5.0,150.85839240657683,-33.92493461802784,150.9425797876728,-33.87606147442098,2000.0
58,48,7.78799997,7.78799997,1.0,5.0,151.03898303118194,-33.92377893458613,150.9425797876728,-33.87606147442098,3000.0
1,51,6.497999929800001,6.497999929800001,1.0,5.0,150.92507065718732,-33.93273251125431,150.85839240657677,-33.92493461802785,4561.48492129726
4,51,16.259999856,16.259999856,1.0,5.0,150.73269801802024,-34.05099416380232,150.85839240657677,-33.92493461802785,1144.6494485135001
15,51,3.4538245693560534,3.4538245693560534,0.7000000000000001,5.333333333333333,150.85178599934846,-33.87039605406204,150.85839240657677,-33.92493461802785,7258.6616571389495
22,51,2.65400000472,2.65400000472,0.55,5.5,150.8790034512173,-33.95592373900543,150.85839240657677,-33.92493461802785,5079.772079590261
48,51,3.479999952,3.479999952,1.0,5.0,150.94257978767277,-33.876061474420986,150.85839240657677,-33.92493461802785,2000.0
54,51,12.047999915999998,12.047999915999998,1.0,5.0,150.731762494932,-33.939902256718504,150.85839240657677,-33.92493461802785,1000.0
20,2,2.8190000191999998,2.8190000191999998,0.775,5.25,151.01449379636105,-33.81172787292927,151.05369972253098,-33.8186840826742,12783.12912593923
36,2,2.274730778716715,2.274730778716715,0.55,5.5,151.07739273702276,-33.87019512491017,151.05369972253098,-33.8186840826742,6626.70911671478
37,2,2.652000036,2.652000036,1.0,5.0,151.0650960102194,-33.759380042101014,151.05369972253098,-33.8186840826742,2000.0
50,2,3.2579999814,3.2579999814,1.0,5.0,151.10109300778302,-33.814963993221305,151.05369972253098,-33.8186840826742,4180.53467200072
58,2,7.7039999975999995,7.7039999975999995,1.0,5.0,151.03898303118194,-33.92377893458613,151.05369972253098,-33.8186840826742,3000.0
